iter	RMSE
0	3.849770623
1	3.783609908
2	3.738845418
3	3.690370348
4	3.625860695
5	3.566758028
6	3.535927432
7	3.484867239
8	3.458967185
9	3.434321488
10	3.382722032
11	3.352325828
12	3.33480899
13	3.290128786
14	3.270719527
15	3.252922085
16	3.21883012
17	3.193166822
18	3.158830307
19	3.12180567
20	3.102848789
21	3.071533663
22	3.046667179
23	3.030796699
24	3.009396409
25	2.99602325
26	2.977449195
27	2.958098735
28	2.938896024
29	2.917320836
30	2.90849624
31	2.901285643
32	2.884104732
33	2.863870699
34	2.849197669
35	2.833699679
36	2.819524465
37	2.808893733
38	2.795825515
39	2.784527534
40	2.767418276
41	2.761911558
42	2.758703765
43	2.74579795
44	2.739190737
45	2.731292213
46	2.726685972
47	2.723982767
48	2.712641044
49	2.704834789
50	2.698905345
51	2.69465866
52	2.687065379
53	2.685780068
54	2.675125901
55	2.6654469
56	2.661912949
57	2.652065183
58	2.648399785
59	2.643506434
60	2.637443863
61	2.630288122
62	2.621940923
63	2.621185771
64	2.614330818
65	2.604436293
66	2.597556298
67	2.596752368
68	2.589749124
69	2.583453031
70	2.579287353
71	2.572164288
72	2.570271546
73	2.566047194
74	2.5600743
75	2.5600743
76	2.556611931
77	2.55555582
78	2.550886276
79	2.543764349
80	2.541254977
81	2.540339873
82	2.537714568
83	2.533927826
84	2.532404847
85	2.528414677
86	2.52447926
87	2.520979981
88	2.515888151
89	2.511243763
90	2.507588196
91	2.503236169
92	2.49978181
93	2.499117253
94	2.495945153
95	2.492378287
96	2.489109196
97	2.486200969
98	2.483528266
99	2.480177154
100	2.476991384
101	2.475210401
102	2.473239113
103	2.47026364
104	2.469052003
105	2.468560593
106	2.467207144
107	2.463117253
108	2.462187801
109	2.460915942
110	2.458261441
111	2.457700225
112	2.45410744
113	2.45164224
114	2.449447385
115	2.448854747
116	2.446445509
117	2.445153488
118	2.444049927
119	2.44369674
120	2.44228685
121	2.439151086
122	2.439151085
123	2.438003018
124	2.437203478
125	2.435983412
126	2.433841165
127	2.431100215
128	2.430474301
129	2.42758075
130	2.424565963
131	2.421999582
132	2.420331824
133	2.419248484
134	2.41792943
135	2.416239111
136	2.416239109
137	2.412496871
138	2.409854533
139	2.408794823
140	2.40674048
141	2.405160932
142	2.402999209
143	2.40220346
144	2.399359021
145	2.398025348
146	2.398025345
147	2.397332977
148	2.395082879
149	2.39364555
150	2.39188476
151	2.390556784
152	2.388181175
153	2.386512456
154	2.384025574
155	2.381195341
156	2.380472574
157	2.378979507
158	2.376492198
159	2.375385339
160	2.37404817
161	2.372283331
162	2.371657192
163	2.369018236
164	2.367611184
165	2.366470543
166	2.364458443
167	2.362093737
168	2.360518966
169	2.359407598
170	2.357145973
171	2.356041369
172	2.355490064
173	2.354868299
174	2.35423438
175	2.353925296
176	2.352780566
177	2.351162172
178	2.348770199
179	2.347768082
180	2.345900517
181	2.344513036
182	2.344013935
183	2.34273329
184	2.342194694
185	2.341254973
186	2.340529435
187	2.339768831
188	2.33869078
189	2.337045921
190	2.335927595
191	2.332412897
192	2.331631261
193	2.329536151
194	2.327811938
195	2.325658741
196	2.324621942
197	2.323428057
198	2.321817969
199	2.321083103
200	2.319720049
201	2.318809201
202	2.316978146
203	2.316048545
204	2.31453939
205	2.312997676
206	2.310662574
207	2.308940372
208	2.307382329
209	2.305935243
210	2.304556899
211	2.301682768
212	2.299959096
213	2.298112381
214	2.296452798
215	2.295126791
216	2.294270326
217	2.292080841
218	2.290862977
219	2.289640238
220	2.288415701
221	2.28722377
222	2.285973821
223	2.284872602
224	2.284125048
225	2.281520307
226	2.279905686
227	2.279270712
228	2.278513778
229	2.277379713
230	2.276643968
231	2.276340468
232	2.275778029
233	2.274226075
234	2.272354722
235	2.269839037
236	2.269171086
237	2.267481092
238	2.266358282
239	2.265743555
240	2.265347019
241	2.264906967
242	2.264403648
243	2.263025447
244	2.262333967
245	2.261020329
246	2.260607327
247	2.258829601
248	2.258332393
249	2.257539036
250	2.256272242
251	2.255614601
252	2.254000969
253	2.253333479
254	2.252948486
255	2.252084136
256	2.251152258
257	2.249997627
258	2.249372896
259	2.247810583
260	2.247388312
261	2.246354352
262	2.245867712
263	2.244751775
264	2.243032759
265	2.242800607
266	2.242516168
267	2.241845261
268	2.24146142
269	2.238973226
270	2.238323635
271	2.23789399
272	2.237475047
273	2.23675974
274	2.236334317
275	2.236034002
276	2.234807079
277	2.234272939
278	2.233676397
279	2.232477953
280	2.228954631
281	2.228471685
282	2.228171781
283	2.227852624
284	2.22735316
285	2.227170277
286	2.226782651
287	2.226039745
288	2.225370172
289	2.225145377
290	2.224559563
291	2.223214227
292	2.223029074
293	2.22283314
294	2.222453959
295	2.222255445
296	2.221135864
297	2.220889276
298	2.220110439
299	2.218738734
300	2.218417465
301	2.218150768
302	2.21775044
303	2.217302983
304	2.216909744
305	2.21667849
306	2.216547363
307	2.216097992
308	2.215365209
309	2.215161996
310	2.214927689
311	2.213507137
312	2.213187462
313	2.212943893
314	2.212825547
315	2.212372903
316	2.212016072
317	2.211660179
318	2.211422981
319	2.210952438
320	2.210551466
321	2.209995217
322	2.209111173
323	2.208943375
324	2.208887751
325	2.208613904
326	2.208491929
327	2.208375872
328	2.207723682
329	2.206170765
330	2.206122156
331	2.205393105
332	2.204784611
333	2.203927371
334	2.203640618
335	2.20338201
336	2.202996604
337	2.202769961
338	2.202563067
339	2.201900927
340	2.201723512
341	2.201448224
342	2.201036478
343	2.200824484
344	2.200247609
345	2.19992323
346	2.199690498
347	2.199408428
348	2.198811151
349	2.198195028
350	2.198043405
351	2.197745107
352	2.197523873
353	2.196707518
354	2.196514146
355	2.196340861
356	2.196232681
357	2.196085518
358	2.195928643
359	2.19566531
360	2.195445078
361	2.195087678
362	2.194852478
363	2.194699602
364	2.194523016
365	2.194425434
366	2.193899356
367	2.193619175
368	2.193470232
369	2.193435991
370	2.193366448
371	2.193031837
372	2.1928015
373	2.191796473
374	2.191679631
375	2.191463025
376	2.191354923
377	2.190860061
378	2.190403312
379	2.189800295
380	2.18951055
381	2.189230494
382	2.189167367
383	2.188935724
384	2.188633809
385	2.188292918
386	2.188189247
387	2.187505208
388	2.187272971
389	2.186982339
390	2.1869155
391	2.186528362
392	2.186407916
393	2.185416926
394	2.183587189
395	2.183175936
396	2.182846993
397	2.182731366
398	2.182319883
399	2.181810948
400	2.181724305
401	2.180942328
402	2.180814569
403	2.1806031
404	2.18048326
405	2.180384523
406	2.179913576
407	2.179841798
408	2.17970917
409	2.179094036
410	2.178948576
411	2.178838909
412	2.178590004
413	2.178310098
414	2.178180131
415	2.178066301
