iter	Passed	Remaining
0	1	1221
1	2	1003
2	5	1178
3	6	1151
4	8	1147
5	9	1123
6	10	1067
7	12	1044
8	12	975
9	14	967
10	15	990
11	17	997
12	18	959
13	19	965
14	20	929
15	21	900
16	22	917
17	24	914
18	25	914
19	27	922
20	28	926
21	30	934
22	32	944
23	33	939
24	34	937
25	35	932
26	37	922
27	38	924
28	40	926
29	41	928
30	42	924
31	43	910
32	44	906
33	46	907
34	47	901
35	48	897
36	50	898
37	51	898
38	53	899
39	54	896
40	56	901
41	57	902
42	58	890
43	59	889
44	60	885
45	62	882
46	63	879
47	63	869
48	65	873
49	67	873
50	68	865
51	69	861
52	70	863
53	72	863
54	73	862
55	75	864
56	75	856
57	77	857
58	78	849
59	79	850
60	80	846
61	82	847
62	83	849
63	84	840
64	86	842
65	87	843
66	89	843
67	89	835
68	91	836
69	93	838
70	94	837
71	96	837
72	96	832
73	98	831
74	99	832
75	100	822
76	101	819
77	101	812
78	103	813
79	105	814
80	105	808
81	106	801
82	107	797
83	108	798
84	109	795
85	111	795
86	112	796
87	114	795
88	115	795
89	117	795
90	118	793
91	119	792
92	121	791
93	121	785
94	123	784
95	124	784
96	125	782
97	127	783
98	129	783
99	131	788
100	133	789
101	134	785
102	135	782
103	136	781
104	137	777
105	137	771
106	138	767
107	140	767
108	140	763
109	142	763
110	143	763
111	144	759
112	146	759
113	147	760
114	149	759
115	150	756
116	151	754
117	152	750
118	152	745
119	153	741
120	154	740
121	156	741
122	156	735
123	157	733
124	158	729
125	159	727
126	160	724
127	162	724
128	163	724
129	164	722
130	166	721
131	167	720
132	168	719
133	169	716
134	170	714
135	171	711
136	171	706
137	173	706
138	174	706
139	175	702
140	177	701
141	178	702
142	180	703
143	181	700
144	182	699
145	184	699
146	184	694
147	186	693
148	187	693
149	188	691
150	189	690
151	191	689
152	192	689
153	194	688
154	195	688
155	197	687
156	199	688
157	200	688
158	202	688
159	203	688
160	205	687
161	206	685
162	207	682
163	208	682
164	210	682
165	211	681
166	213	682
167	215	681
168	216	680
169	218	679
170	219	679
171	221	679
172	222	678
173	223	675
174	224	672
175	224	668
176	226	668
177	227	667
178	229	669
179	231	667
180	232	666
181	233	665
182	234	663
183	236	663
184	238	663
185	239	661
186	241	661
187	242	659
188	243	658
189	245	658
190	246	657
191	248	657
192	249	656
193	251	656
194	253	655
195	254	655
196	255	653
197	257	652
198	259	652
199	260	651
200	262	651
201	263	649
202	265	649
203	266	648
204	268	648
205	269	647
206	271	647
207	273	647
208	275	646
209	276	645
210	278	645
211	280	646
212	282	645
213	284	645
214	285	644
215	287	644
216	289	643
217	291	643
218	293	643
219	294	643
220	296	643
221	298	643
222	300	643
223	303	643
224	304	643
225	306	642
226	308	641
227	310	641
228	311	641
229	313	641
230	315	640
231	317	639
232	318	638
233	320	637
234	322	637
235	324	637
236	325	636
237	327	636
238	329	636
239	331	635
240	332	634
241	334	632
242	336	632
243	338	633
244	341	633
245	342	632
246	344	631
247	345	630
248	347	629
249	349	629
250	351	628
251	353	628
252	355	627
253	357	627
254	358	626
255	360	625
256	362	624
257	364	623
258	366	623
259	368	623
260	370	622
261	371	621
262	373	621
263	376	621
264	378	620
265	379	619
266	381	618
267	383	617
268	384	616
269	386	615
270	387	613
271	389	612
272	390	611
273	393	611
274	395	610
275	396	609
276	398	609
277	400	608
278	402	607
279	404	607
280	406	606
281	408	605
282	410	604
283	411	603
284	413	602
285	415	601
286	417	600
287	419	600
288	421	598
289	422	597
290	424	596
291	426	595
292	428	594
293	429	593
294	431	592
295	433	591
296	435	590
297	436	589
298	438	588
299	440	587
300	442	586
301	444	585
302	445	583
303	447	582
304	448	581
305	450	580
306	452	579
307	454	578
308	456	577
309	457	575
310	459	574
311	461	574
312	463	573
313	465	572
314	467	571
315	469	570
316	471	569
317	473	568
318	474	566
319	476	565
320	478	564
321	479	563
322	482	562
323	484	561
324	485	560
325	487	559
326	488	557
327	490	556
328	492	555
329	494	554
330	496	553
331	498	552
332	499	550
333	500	548
334	502	547
335	504	546
336	506	545
337	507	543
338	509	542
339	511	541
340	513	540
341	514	539
342	516	537
343	518	536
344	520	535
345	522	534
346	523	532
347	525	531
348	527	530
349	529	529
350	531	528
351	533	527
352	535	526
353	537	524
354	538	523
355	540	522
356	542	520
357	543	519
358	545	517
359	546	516
360	548	515
361	550	513
362	552	512
363	553	511
364	555	509
365	556	507
366	558	506
367	560	505
368	562	504
369	564	503
370	565	501
371	566	499
372	568	498
373	570	497
374	572	496
375	574	494
376	575	493
377	577	492
378	579	490
379	580	489
380	582	487
381	584	486
382	586	485
383	587	483
384	589	482
385	591	481
386	594	480
387	595	479
388	597	477
389	599	476
390	600	474
391	602	473
392	604	472
393	606	470
394	608	469
395	610	468
396	612	467
397	613	465
398	615	464
399	616	462
400	618	461
401	620	459
402	621	458
403	623	456
404	625	455
405	627	454
406	629	452
407	630	451
408	632	449
409	634	448
410	636	447
411	638	446
412	640	444
413	641	443
414	644	442
415	646	441
416	648	439
417	650	438
418	651	436
419	653	435
420	655	434
421	656	432
422	658	431
423	659	429
424	661	428
425	663	426
426	664	424
427	666	423
428	669	422
429	670	421
430	672	419
431	673	418
432	675	416
433	677	415
434	679	413
435	680	412
436	682	410
437	683	409
438	685	407
439	687	406
440	689	404
441	691	403
442	692	401
443	694	400
444	696	398
445	697	397
446	700	396
447	701	394
448	703	392
449	704	391
450	706	389
451	707	388
452	709	387
453	711	385
454	714	384
455	716	383
456	718	381
457	719	380
458	721	378
459	722	377
460	724	375
461	726	374
462	728	372
463	730	371
464	731	369
465	734	368
466	736	367
467	738	365
468	739	364
469	741	363
470	743	361
471	745	360
472	747	358
473	749	357
474	751	355
475	752	354
476	754	352
477	756	351
478	758	349
479	760	348
480	762	347
481	763	345
482	765	344
483	767	342
484	768	340
485	770	339
486	772	337
487	773	336
488	775	334
489	777	333
490	778	331
491	780	329
492	782	328
493	783	326
494	786	325
495	787	323
496	789	322
497	791	320
498	792	319
499	794	317
500	796	316
501	797	314
502	799	313
503	800	311
504	802	309
505	803	308
506	805	306
507	807	305
508	809	303
509	811	302
510	813	300
511	815	299
512	816	297
513	818	296
514	819	294
515	821	292
516	823	291
517	824	289
518	825	287
519	827	286
520	828	284
521	829	282
522	831	281
523	833	279
524	834	278
525	835	276
526	837	274
527	838	273
528	840	271
529	841	270
530	843	268
531	844	266
532	846	265
533	848	263
534	849	262
535	851	260
536	853	259
537	854	257
538	856	255
539	858	254
540	859	252
541	861	251
542	863	249
543	865	248
544	866	246
545	868	244
546	869	243
547	871	241
548	872	240
549	874	238
550	875	236
551	877	235
552	878	233
553	880	231
554	881	230
555	883	228
556	885	227
557	887	225
558	888	224
559	890	222
560	891	220
561	893	219
562	894	217
563	896	216
564	897	214
565	898	212
566	900	211
567	902	209
568	903	208
569	904	206
570	906	204
571	908	203
572	910	201
573	911	200
574	913	198
575	914	196
576	916	195
577	918	193
578	919	192
579	921	190
580	923	189
581	925	187
582	926	186
583	928	184
584	930	182
585	932	181
586	933	179
587	935	178
588	936	176
589	938	175
590	940	173
591	941	171
592	943	170
593	945	168
594	946	167
595	948	165
596	949	163
597	951	162
598	952	160
599	954	159
600	955	157
601	956	155
602	958	154
603	959	152
604	961	151
605	963	149
606	965	147
607	967	146
608	968	144
609	970	143
610	972	141
611	973	140
612	975	138
613	977	136
614	978	135
615	979	133
616	981	132
617	983	130
618	985	128
619	986	127
620	988	125
621	990	124
622	991	122
623	993	120
624	995	119
625	996	117
626	998	116
627	1000	114
628	1001	113
629	1003	111
630	1004	109
631	1006	108
632	1008	106
633	1009	105
634	1011	103
635	1013	101
636	1014	100
637	1015	98
638	1017	97
639	1018	95
640	1020	93
641	1022	92
642	1023	90
643	1025	89
644	1027	87
645	1029	86
646	1031	84
647	1033	82
648	1034	81
649	1036	79
650	1038	78
651	1039	76
652	1041	74
653	1042	73
654	1044	71
655	1046	70
656	1047	68
657	1049	66
658	1050	65
659	1052	63
660	1054	62
661	1056	60
662	1057	59
663	1058	57
664	1060	55
665	1062	54
666	1064	52
667	1065	51
668	1067	49
669	1069	47
670	1071	46
671	1073	44
672	1075	43
673	1076	41
674	1078	39
675	1080	38
676	1081	36
677	1083	35
678	1085	33
679	1086	31
680	1087	30
681	1089	28
682	1090	27
683	1092	25
684	1093	23
685	1094	22
686	1095	20
687	1097	19
688	1099	17
689	1101	15
690	1102	14
691	1104	12
692	1106	11
693	1108	9
694	1110	7
695	1111	6
696	1112	4
697	1114	3
698	1115	1
699	1117	0
